no.,listed as,book,author,edition,year
325,Mr. Ellis,Letters,"Sancho, Ignatius",1,1782
326,William Ewen. Esq.,Letters,"Sancho, Ignatius",1,1782
327,Rev. Mr. Evans,Letters,"Sancho, Ignatius",1,1782
328,Mr. Ellis,Letters,"Sancho, Ignatius",1,1782
329,Col. Edmonds,Letters,"Sancho, Ignatius",1,1782
330,"John Eames, Esq.",Letters,"Sancho, Ignatius",1,1782
331,Mr. Eves,Letters,"Sancho, Ignatius",1,1782
332,Mr. Evans,Letters,"Sancho, Ignatius",1,1782
333,Mrs. Emblin,Letters,"Sancho, Ignatius",1,1782
334,Mrs. Elizabeth Edgar,Letters,"Sancho, Ignatius",1,1782
335,Mr. Emmet,Letters,"Sancho, Ignatius",1,1782
336,Mr. James Elliot,Letters,"Sancho, Ignatius",1,1782
337,Earl of Fitzwilliam,Letters,"Sancho, Ignatius",1,1782
338,Countess of Fitzwilliam,Letters,"Sancho, Ignatius",1,1782
339,Lord Foley,Letters,"Sancho, Ignatius",1,1782
340,Right Honourable Charles James Fox,Letters,"Sancho, Ignatius",1,1782
341,Right Honourable Richard Fitzpatrick,Letters,"Sancho, Ignatius",1,1782
342,Lady Charlotte Finch,Letters,"Sancho, Ignatius",1,1782
343,Lady Finch,Letters,"Sancho, Ignatius",1,1782
344,Honourable Andrew Foley,Letters,"Sancho, Ignatius",1,1782
345,Honourable Mrs. Foley,Letters,"Sancho, Ignatius",1,1782
346,"Sir Martin Folkes, Bart.",Letters,"Sancho, Ignatius",1,1782
347,"Wiliiam Fawkener, Esq.",Letters,"Sancho, Ignatius",1,1782
348,Admiral Forbes,Letters,"Sancho, Ignatius",1,1782
349,Miss Forbes,Letters,"Sancho, Ignatius",1,1782
350,Miss M. Forbes,Letters,"Sancho, Ignatius",1,1782
351,"R. Fresselicque, Esq.",Letters,"Sancho, Ignatius",1,1782
352,Rev. John Fresselicque,Letters,"Sancho, Ignatius",1,1782
353,Miss Fresselicque,Letters,"Sancho, Ignatius",1,1782
354,Mrs. Fernyhough,Letters,"Sancho, Ignatius",1,1782
355,Mrs. Friend,Letters,"Sancho, Ignatius",1,1782
356,Miss Freeman,Letters,"Sancho, Ignatius",1,1782
357,Mr. Thomas Farren,Letters,"Sancho, Ignatius",1,1782
358,Miss Fiske,Letters,"Sancho, Ignatius",1,1782
359,"John Frere, Esq.",Letters,"Sancho, Ignatius",1,1782
360,Rev. Richard Fisher,Letters,"Sancho, Ignatius",1,1782
361,Mrs. Flasby,Letters,"Sancho, Ignatius",1,1782
362,Mr. William French,Letters,"Sancho, Ignatius",1,1782
363,Mr. Fisher,Letters,"Sancho, Ignatius",1,1782
364,Rev. John Freeman,Letters,"Sancho, Ignatius",1,1782
365,Miss Fish,Letters,"Sancho, Ignatius",1,1782
366,Mrs. Farrow,Letters,"Sancho, Ignatius",1,1782
367,"Edward Foster, Esq.",Letters,"Sancho, Ignatius",1,1782
368,Mr. Henry Fearon,Letters,"Sancho, Ignatius",1,1782
369,Rev. Edmund Ferrers,Letters,"Sancho, Ignatius",1,1782
370,Miss Mary Farren,Letters,"Sancho, Ignatius",1,1782
371,Rev. Mr. Forbes,Letters,"Sancho, Ignatius",1,1782
372,"Ingham Forster, Esq.",Letters,"Sancho, Ignatius",1,1782
373,Mrs. Freeman,Letters,"Sancho, Ignatius",1,1782
374,Mr. G. Farrington,Letters,"Sancho, Ignatius",1,1782
375,Rev. Mr. Flint,Letters,"Sancho, Ignatius",1,1782
376,Mr. Faquier,Letters,"Sancho, Ignatius",1,1782
377,Mr. Fuller,Letters,"Sancho, Ignatius",1,1782
378,Mr. Forlow,Letters,"Sancho, Ignatius",1,1782
379,Mr. Francis,Letters,"Sancho, Ignatius",1,1782
380,Mr. Freestone,Letters,"Sancho, Ignatius",1,1782
381,Mr. Fenton,Letters,"Sancho, Ignatius",1,1782
382,Mr. Freeman,Letters,"Sancho, Ignatius",1,1782
383,Mrs. Fanning,Letters,"Sancho, Ignatius",1,1782
384,Mr. Fox,Letters,"Sancho, Ignatius",1,1782
385,Her Royal Highness the Duchess of Gloucester,Letters,"Sancho, Ignatius",1,1782
386,His Grace the Duke of Grafton,Letters,"Sancho, Ignatius",1,1782
387,Her Grace the Duchess of Grafton,Letters,"Sancho, Ignatius",1,1782
388,Earl of Gower,Letters,"Sancho, Ignatius",1,1782
389,Earl of Guilford,Letters,"Sancho, Ignatius",1,1782
390,Lord Grantham,Letters,"Sancho, Ignatius",1,1782
391,Lady Grantham,Letters,"Sancho, Ignatius",1,1782
392,Miss Goldsworthy,Letters,"Sancho, Ignatius",1,1782
393,Dr. Gisborne,Letters,"Sancho, Ignatius",1,1782
394,"Edward Gibbon, Esq.",Letters,"Sancho, Ignatius",1,1782
395,"Leslie Grove, Esq.",Letters,"Sancho, Ignatius",1,1782
396,"Joseph Gulston, Esq.",Letters,"Sancho, Ignatius",1,1782
397,"John Godbold, Esq.",Letters,"Sancho, Ignatius",1,1782
398,Rev. Mr. Gibson,Letters,"Sancho, Ignatius",1,1782
399,Rev. R. E. Garnham,Letters,"Sancho, Ignatius",1,1782
