title_key,person_name,wikidata_id,start_year,end_year,source
duke of rutland,"David Manners, 11th Duke of Rutland",Q5237096,1999,,wikidata
duke of st alban's,,,,,
duke of st. alban's,,,,,
duke of st. albans,"Aubrey Beauclerk, 6th Duke of St Albans",Q3629427,,,wikidata
duke of st. albans,"Aubrey Beauclerk, 5th Duke of St Albans",Q3629430,,,wikidata
duke of st. albans,"Charles Beauclerk, 2nd Duke of St Albans",Q3666340,,,wikidata
duke of st. albans,"Charles Beauclerk, 11th Duke of St Albans",Q5075497,,,wikidata
duke of st. albans,"Charles Beauclerk, 13th Duke of St Albans",Q5075499,,,wikidata
duke of st. albans,"George Beauclerk, 3rd Duke of St Albans",Q5536832,,1786,wikidata
duke of st. albans,"George Beauclerk, 4th Duke of St Albans",Q5536833,,,wikidata
duke of st. albans,"William Beauclerk, 9th Duke of St Albans",Q644179,,,wikidata
duke of st. albans,"William Beauclerk, 10th Duke of St Albans",Q6544227,,,wikidata
duke of st. albans,"Osborne Beauclerk, 12th Duke of St Albans",Q7105784,,,wikidata
duke of st. albans,"Charles Beauclerk, 1st Duke of St Albans",Q135152,1684,1726,wikidata
duke of st. albans,"William Beauclerk, 8th Duke of St Albans",Q6544743,1816,1825,wikidata
duke of st. albans,"Murray Beauclerk, 14th Duke of St Albans",Q6939122,1988,,wikidata
duke of york,"Edmund of Langley, 1st Duke of York",Q305002,1385,1402,wikidata
duke of york,"Edward of Norwich, 2nd Duke of York",Q452639,1402,1415,wikidata
duke of york,"Edward of Norwich, 2nd Duke of York",Q452639,1402,1415,wikidata
duke of york,"Richard of York, 3rd Duke of York",Q312137,1415,1461,wikidata
duke of york,Edward IV of England,Q160341,1461,1461,wikidata
duke of york,Edward IV of England,Q160341,1461,,wikidata
duke of york,"Richard of Shrewsbury, 1st Duke of York",Q221367,1474,,wikidata
duke of york,"Richard of Shrewsbury, 1st Duke of York",Q221367,1474,,wikidata
duke of york,Henry VIII of England,Q38370,1494,1504,wikidata
duke of york,Henry VIII of England,Q38370,1494,1504,wikidata
duke of york,Charles I of England,Q81506,1605,1625,wikidata
duke of york,Charles I of England,Q81506,1605,1625,wikidata
duke of york,James II of England,Q126188,1633,1685,wikidata
duke of york,James II of England,Q126188,1633,1685,wikidata
duke of york,Henry Benedict Stuart,Q318219,1725,1807,wikidata
duke of york,Henry Benedict Stuart,Q318219,1725,1807,wikidata
duke of york,George V,Q269412,1892,1910,wikidata
duke of york,George V,Q269412,1892,1910,wikidata
duke of york,George VI,Q280856,1920,1936,wikidata
duke of york,George VI,Q280856,1920,1936,wikidata
duke of york,Andrew Mountbatten-Windsor,Q153330,1986,2025,wikidata
duke of york,Andrew Mountbatten-Windsor,Q153330,1986,2025,wikidata
earl of ailesbury,"Charles Bruce, 3rd Earl of Ailesbury",Q5075841,,,wikidata
earl of ailesbury,"Charles Brudenell-Bruce, 1st Marquess of Ailesbury",Q5075846,,,wikidata
